,model,prompt_method,sample_size,n_samples,KL Divergence,Wasserstein,MMD
286,gpt-4o,emotion_prompt,rs_size_50,375,17.12170223547562,0.2916808861306759,0.10594246392029527
11,claude-3-5-sonnet-20240620,chain_of_verification,rs_size_50,375,17.13507171966012,0.08208672412097358,0.019685735352775735
280,gpt-4o,directional_stimuli,rs_size_50,368,17.368663844397652,0.17846669511797347,0.08311505163967192
310,gpt-4o,rephrase_and_respond,rs_size_50,375,17.374818385262696,0.11742729312324775,0.07217000589320821
297,gpt-4o,least_to_most,rs_size_5,291,17.396046966685994,0.2770110271855511,0.1008028384040649
503,llama3:8b,self_consistency,rs_size_50,295,17.436033953674663,0.19209827904461887,0.04946801239681031
498,llama3:8b,self_consistency,rs_size_10,291,17.470821957012067,0.20290150883939345,0.08780275922596226
271,gpt-4o,chain_of_verification,rs_size_150,324,17.64223754716254,0.7210118046296865,0.28143111457973535
83,claude-3-sonnet-20240229,chain_of_verification,rs_size_50,349,17.659730663698554,0.31630768162681516,0.1421312727891566
447,llama3:8b,chain_of_thought,rs_size_25,238,17.684839774438498,0.12404322007904948,0.03927403803216212
325,gpt-4o,skeleton_of_thought,rs_size_150,371,17.74926047603754,0.19108374360135252,0.1712475461310452
273,gpt-4o,chain_of_verification,rs_size_5,277,17.751808658199305,0.2806402495527491,0.15421681120569208
435,llama3:70b,skeleton_of_thought,rs_size_150,253,17.845462601238104,0.24518110434971718,0.15456380723953544
387,llama3:70b,directional_stimuli,rs_size_150,320,17.858123149208147,0.20357785302267276,0.12921439317762085
584,mixtral:8x22b,chain_of_thought,rs_size_5,237,17.86967359960114,0.37616584641070905,0.2072671106229318
304,gpt-4o,recursive_criticism_and_improvement,rs_size_50,353,17.888265719309796,0.2512672990411707,0.09680724535991514
319,gpt-4o,self_consistency,rs_size_150,369,18.08052405703185,0.14660608681487577,0.1132719811845464
393,llama3:70b,emotion_prompt,rs_size_150,365,18.1296771768098,0.2346110250780012,0.14622912107157293
2,claude-3-5-sonnet-20240620,chain_of_thought,rs_size_150,375,18.181681689905638,0.16953619138248913,0.1747286435091937
134,claude-3-sonnet-20240229,skeleton_of_thought,rs_size_150,325,18.251432299334,0.3353861297044763,0.16515833386107226
120,claude-3-sonnet-20240229,reverse_prompting,rs_size_10,236,18.295444300866905,0.17280686317942426,0.10713551610403749
691,phi3:medium-128k,step_back_prompting,rs_size_10,280,18.331809704830363,0.14852797805100185,0.0630274208590842
32,claude-3-5-sonnet-20240620,least_to_most,rs_size_150,375,18.42618019475232,0.20161486021273983,0.165374247675119
391,llama3:70b,emotion_prompt,rs_size_10,365,18.428555421963054,0.19938386973099326,0.12749236333236058
112,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_5,200,18.4905402587056,0.33329972258273866,0.10691062217534197
111,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_25,323,18.50695293145652,0.18450641870713352,0.08128705457112284
36,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_10,375,18.762923856750923,0.15130097065668405,0.07148029265316524
352,llama2:13b,least_to_most,rs_size_25,126,18.793888781070574,0.050356260984539956,0.007493933674065811
279,gpt-4o,directional_stimuli,rs_size_5,353,18.88586379464874,0.3186699109501446,0.19708076255066143
123,claude-3-sonnet-20240229,reverse_prompting,rs_size_25,274,18.921646036334643,0.08374486946556285,0.022586712685084942
495,llama3:8b,reverse_prompting,rs_size_25,176,19.052900785840315,0.08699931916186807,0.0257447492740579
500,llama3:8b,self_consistency,rs_size_150,157,19.063703534089367,0.2804225633910174,0.1860676356301647
265,gpt-4o,chain_of_thought,rs_size_100,225,19.141909297834214,0.24567477093942916,0.18495520867290272
620,mixtral:8x22b,recursive_criticism_and_improvement,rs_size_5,266,19.20260581073698,0.1825918708299497,0.08911121947283274
683,phi3:medium-128k,self_consistency,rs_size_10,313,19.304228214428473,0.17425027836027596,0.10453402567657988
210,gpt-3.5-turbo-0125,directional_stimuli,rs_size_50,365,19.361188384954488,0.10317312062115883,0.0724483934147031
602,mixtral:8x22b,emotion_prompt,rs_size_5,271,19.45508715522046,0.4085130225362921,0.2339357088927294
475,llama3:8b,least_to_most,rs_size_100,25,19.62383508706328,0.38846938149377763,0.30691806391404763
507,llama3:8b,skeleton_of_thought,rs_size_25,257,19.688848144536223,0.10367968868091769,0.04163678856205544
369,llama2:13b,skeleton_of_thought,rs_size_5,145,19.74820427115958,0.4244354267967494,0.17460541506361615
440,llama3:70b,step_back_prompting,rs_size_150,227,19.8875086421149,0.20984548619186594,0.15254955317489527
269,gpt-4o,chain_of_verification,rs_size_10,325,20.019065610797394,0.4525103472138031,0.20644491342993765
74,claude-3-sonnet-20240229,chain_of_thought,rs_size_150,374,20.190900753242026,0.20194505217459888,0.15725523557525656
345,llama2:13b,emotion_prompt,rs_size_5,82,20.20820364532822,0.9890045401995738,0.2838795950765064
129,claude-3-sonnet-20240229,self_consistency,rs_size_25,375,20.21556666338965,0.04155212072946276,0.00401266212581497
462,llama3:8b,emotion_prompt,rs_size_10,328,20.226223020378445,0.26173866783971506,0.1312179435525045
607,mixtral:8x22b,generated_knowledge,rs_size_25,192,20.232582870186295,0.0589817423149467,0.011802702378452157
143,claude-3-sonnet-20240229,step_back_prompting,rs_size_50,375,20.268436487740193,0.24527434526897166,0.10202199849669502
453,llama3:8b,chain_of_verification,rs_size_25,146,20.296839099275083,0.16954299035344159,0.08130405158542953
35,claude-3-5-sonnet-20240620,least_to_most,rs_size_50,375,20.414194895763377,0.06586886445379671,0.01632496362607072
467,llama3:8b,emotion_prompt,rs_size_50,331,20.497783111345047,0.36560159380381646,0.1287950541587759
546,mistral:7b,least_to_most,rs_size_150,2,20.595228573198252,0.19197187422520126,0.31556871241064477
516,mistral:7b,chain_of_thought,rs_size_10,98,20.649657543669218,0.11054382823700447,0.04885204279065514
333,gpt-4o,step_back_prompting,rs_size_5,215,20.65454072530524,0.5622445377427345,0.2309679313750519
298,gpt-4o,least_to_most,rs_size_50,326,20.685755642105313,0.15425007298012888,0.0364915211968313
311,gpt-4o,reverse_prompting,rs_size_10,262,20.896920413156515,0.6173657952640417,0.17120566416669025
677,phi3:medium-128k,rephrase_and_respond,rs_size_25,323,20.927079589469997,0.06295471499301268,0.013566367492805487
489,llama3:8b,rephrase_and_respond,rs_size_25,302,21.049993058500178,0.10129268594615966,0.02906150395675211
450,llama3:8b,chain_of_verification,rs_size_10,98,21.199948728627078,0.17073377539790438,0.09279709091618393
597,mixtral:8x22b,directional_stimuli,rs_size_50,342,21.37305101759096,0.30429793986446046,0.13159213258374258
330,gpt-4o,step_back_prompting,rs_size_100,250,21.384621125155068,0.18738995640924405,0.1491568930575331
666,phi3:medium-128k,generated_knowledge,rs_size_10,350,21.401059302480267,0.20129879646771537,0.1300060250635553
263,gpt-3.5-turbo-0125,step_back_prompting,rs_size_50,367,21.463745531862866,0.0870643174563894,0.04098477615817564
351,llama2:13b,least_to_most,rs_size_10,173,21.473868892928188,0.2788161214793869,0.12173665968198955
465,llama3:8b,emotion_prompt,rs_size_25,318,21.51465026078926,0.13617027512804233,0.0681697557561094
381,llama3:70b,chain_of_verification,rs_size_150,237,21.517335215442053,0.3498261456207488,0.19846098088883124
221,gpt-3.5-turbo-0125,generated_knowledge,rs_size_5,319,21.518271131662445,0.20745711036180844,0.06661716911023352
315,gpt-4o,reverse_prompting,rs_size_5,163,21.544708164331116,0.1664270756178629,0.053007172598681374
497,llama3:8b,reverse_prompting,rs_size_50,106,21.549421112978177,0.157475064681043,0.0644520993558162
334,gpt-4o,step_back_prompting,rs_size_50,292,21.63152345552379,0.1542622036393432,0.09347274441568487
687,phi3:medium-128k,skeleton_of_thought,rs_size_10,340,21.648687335197966,0.19432131671968783,0.13902965654478838
601,mixtral:8x22b,emotion_prompt,rs_size_25,271,21.727083707211232,0.30276419200262233,0.06830924408180539
122,claude-3-sonnet-20240229,reverse_prompting,rs_size_150,372,21.735521126015335,0.23912507557492552,0.27832287278312995
44,claude-3-5-sonnet-20240620,rephrase_and_respond,rs_size_150,375,21.741379067846513,0.25192224440774597,0.2503917714839168
493,llama3:8b,reverse_prompting,rs_size_100,163,21.742712987808147,0.17836348910042554,0.12354808430376396
676,phi3:medium-128k,rephrase_and_respond,rs_size_10,375,21.882156369394924,0.24299784381778075,0.16255971826159787
459,llama3:8b,directional_stimuli,rs_size_25,164,21.8871193995352,0.32105685051261645,0.10355971272225517
492,llama3:8b,reverse_prompting,rs_size_10,231,21.925199550799952,0.17440626239479018,0.08474212254976199
595,mixtral:8x22b,directional_stimuli,rs_size_25,345,22.10321929123734,0.18532479293903706,0.11546813782255438
660,phi3:medium-128k,directional_stimuli,rs_size_10,351,22.118918652936735,0.28613194837381667,0.18601733698339573
650,mixtral:8x22b,step_back_prompting,rs_size_5,298,22.158443390919455,0.19420692882917603,0.1490949477779202
75,claude-3-sonnet-20240229,chain_of_thought,rs_size_25,250,22.22557121870211,0.04342151943233241,0.0038543232660592786
419,llama3:70b,rephrase_and_respond,rs_size_5,298,22.350479213051447,0.5942998329577595,0.3161950089967134
203,gpt-3.5-turbo-0125,chain_of_verification,rs_size_5,269,22.351823511304314,0.15833117351751522,0.04996413169182312
139,claude-3-sonnet-20240229,step_back_prompting,rs_size_100,319,22.43992995234735,0.7141105762526975,0.2721664308183128
4,claude-3-5-sonnet-20240620,chain_of_thought,rs_size_5,375,22.461923982896092,0.06291886279346177,0.022503258134400017
401,llama3:70b,generated_knowledge,rs_size_5,149,22.47217180458844,0.5754208296659173,0.3790131589972645
81,claude-3-sonnet-20240229,chain_of_verification,rs_size_25,325,22.493330231022398,0.06802174282924152,0.01356625924460908
283,gpt-4o,emotion_prompt,rs_size_150,374,22.54120371900144,0.24077596011553984,0.26389858916103703
449,llama3:8b,chain_of_thought,rs_size_50,236,22.588572967530453,0.3431476059071798,0.12793283873036376
104,claude-3-sonnet-20240229,least_to_most,rs_size_150,340,22.642459862502573,0.4715489347267217,0.28966243957738125
596,mixtral:8x22b,directional_stimuli,rs_size_5,346,22.715427358606245,0.8378831591936392,0.33207089605590656
502,llama3:8b,self_consistency,rs_size_5,207,22.846521272868078,0.6727108541595135,0.41150044668705343
93,claude-3-sonnet-20240229,emotion_prompt,rs_size_25,374,22.93372185325604,0.3473685034345886,0.3076209512576601
454,llama3:8b,chain_of_verification,rs_size_5,127,23.306467098929268,0.32453305110612984,0.32222814805568023
307,gpt-4o,rephrase_and_respond,rs_size_150,375,23.33408874557652,0.23413933379673274,0.2714340463277347
292,gpt-4o,generated_knowledge,rs_size_50,375,23.34751202066241,0.05745022573836693,0.009497766668727925
38,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_150,375,23.436204060914537,0.27756985728615224,0.31991356921511216
207,gpt-3.5-turbo-0125,directional_stimuli,rs_size_150,357,23.486943232833287,0.25329160615577734,0.25661632822205127
409,llama3:70b,recursive_criticism_and_improvement,rs_size_10,91,23.641916265055812,0.17343600135961143,0.130186955315716
71,claude-3-5-sonnet-20240620,step_back_prompting,rs_size_50,375,23.656839247605138,0.02534258429015421,0.0013470255547192167
268,gpt-4o,chain_of_thought,rs_size_50,255,23.91010492312028,0.27955783404507956,0.03701980607046518
255,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_25,368,23.94424770889059,0.126193171462184,0.054825214660351174
608,mixtral:8x22b,generated_knowledge,rs_size_5,284,23.967846118048328,0.46912472236964947,0.2959344301817711
394,llama3:70b,emotion_prompt,rs_size_25,341,24.063159262897166,0.12664723690232924,0.07301996638576891
53,claude-3-5-sonnet-20240620,reverse_prompting,rs_size_50,375,24.088282212775834,0.08777796010620224,0.02513578660642768
326,gpt-4o,skeleton_of_thought,rs_size_25,375,24.16352353503925,0.07033105093614872,0.010986031333485302
396,llama3:70b,emotion_prompt,rs_size_50,374,24.227667445457005,0.43859676820989957,0.26755178650553346
366,llama2:13b,self_consistency,rs_size_5,123,24.306432323625746,0.3938559377328911,0.20223648273249129
220,gpt-3.5-turbo-0125,generated_knowledge,rs_size_25,339,24.311420216394698,0.049448811343573276,0.008373468959449681
402,llama3:70b,generated_knowledge,rs_size_50,325,24.338667253102873,0.25214199668485004,0.1302798082408554
414,llama3:70b,recursive_criticism_and_improvement,rs_size_50,162,24.35388780111121,0.30357310731421644,0.16048353220975775
622,mixtral:8x22b,rephrase_and_respond,rs_size_10,338,24.58520616280565,0.14137838139356523,0.06769318122561208
119,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_50,375,24.677412338271715,0.1681927108625923,0.11945576964801763
21,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_25,375,24.748331181345566,0.08905694142005359,0.04981110667813016
250,gpt-3.5-turbo-0125,self_consistency,rs_size_5,362,24.76784319973309,0.10460962393117068,0.01234832737863667
65,claude-3-5-sonnet-20240620,skeleton_of_thought,rs_size_50,375,24.768933140819854,0.028365730679159117,0.001116800072161972
233,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_5,375,24.82271383963029,0.3054101693265575,0.140345449412262
47,claude-3-5-sonnet-20240620,rephrase_and_respond,rs_size_50,375,24.999102245492868,0.11044076501649844,0.047380501654627816
478,llama3:8b,least_to_most,rs_size_5,60,25.042495505058017,0.5102630277763701,0.3860579979281833
209,gpt-3.5-turbo-0125,directional_stimuli,rs_size_5,368,25.047827310530952,0.16704623189748397,0.10034174383781491
110,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_150,345,25.092001052595766,0.303046359404932,0.34316420517041824
140,claude-3-sonnet-20240229,step_back_prompting,rs_size_150,350,25.16087134488224,0.5572782837297177,0.33505549971695214
486,llama3:8b,rephrase_and_respond,rs_size_10,246,25.207449933879012,0.2964296620021908,0.11596064580178456
239,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_5,349,25.258028516794525,0.1856081068732817,0.08143045890914347
100,claude-3-sonnet-20240229,generated_knowledge,rs_size_5,375,25.397444441680715,0.23145655793067693,0.06430224329929235
125,claude-3-sonnet-20240229,reverse_prompting,rs_size_50,349,25.410001247851827,0.054136074375034905,0.0036828692234367466
223,gpt-3.5-turbo-0125,least_to_most,rs_size_10,352,25.55515596670252,0.06126097713745711,0.020508074995153835
227,gpt-3.5-turbo-0125,least_to_most,rs_size_5,364,25.646449628339706,0.1440779232696781,0.04775230576517697
626,mixtral:8x22b,rephrase_and_respond,rs_size_5,293,25.66045582383608,0.2049018517042646,0.10805185664186734
411,llama3:70b,recursive_criticism_and_improvement,rs_size_150,135,25.69028190680651,0.3406617701404887,0.14918638729530787
78,claude-3-sonnet-20240229,chain_of_verification,rs_size_10,324,25.719281387566276,0.10780638186033031,0.05019585232802459
141,claude-3-sonnet-20240229,step_back_prompting,rs_size_25,350,25.808546755801334,0.421811874199777,0.15770564001662768
257,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_50,366,25.813983619133115,0.15247731346923796,0.1534381052564644
631,mixtral:8x22b,reverse_prompting,rs_size_25,107,25.854386410489575,0.34500404064979584,0.22818728697023938
609,mixtral:8x22b,generated_knowledge,rs_size_50,300,25.92575955210114,0.23636640453935795,0.14126573686369426
416,llama3:70b,rephrase_and_respond,rs_size_100,370,26.01012596986356,0.19276614374691498,0.1914490495485306
643,mixtral:8x22b,skeleton_of_thought,rs_size_25,258,26.142215120018616,0.13107468746211862,0.07740718791642887
685,phi3:medium-128k,self_consistency,rs_size_5,375,26.149592780854217,0.3690701926588185,0.23187464643488087
615,mixtral:8x22b,least_to_most,rs_size_50,249,26.214467810923875,0.09496151670298733,0.04261610244237968
254,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_150,365,26.23518885419201,0.3153096590717618,0.44908205112257216
121,claude-3-sonnet-20240229,reverse_prompting,rs_size_100,275,26.372766059533102,0.33705547156996,0.12046074115606564
544,mistral:7b,least_to_most,rs_size_10,43,26.46493565606226,0.28970053322310724,0.1098985912479129
670,phi3:medium-128k,least_to_most,rs_size_10,275,26.60820976554554,0.15013278454371518,0.07169449558788044
378,llama3:70b,chain_of_thought,rs_size_50,70,26.66533196645242,0.10377609013773115,0.044397513616993844
226,gpt-3.5-turbo-0125,least_to_most,rs_size_25,357,26.68536615964328,0.072976182341147,0.02403780507786668
116,claude-3-sonnet-20240229,rephrase_and_respond,rs_size_150,375,26.722504537349888,0.3193988936062304,0.3547298355181828
103,claude-3-sonnet-20240229,least_to_most,rs_size_100,375,26.784807710552013,0.4762501799600341,0.2210218359722026
360,llama2:13b,rephrase_and_respond,rs_size_5,129,26.919479045356766,0.42828939068007366,0.2877176162777224
390,llama3:70b,directional_stimuli,rs_size_50,150,26.921799648152046,0.40129502152993524,0.246833722010936
290,gpt-4o,generated_knowledge,rs_size_25,350,26.964546303672908,0.045380742529175046,0.003867935296524516
640,mixtral:8x22b,skeleton_of_thought,rs_size_10,186,26.99009644782124,0.2521707429774574,0.2014379062472842
288,gpt-4o,generated_knowledge,rs_size_100,350,27.029490369789734,0.09650378518583269,0.04710740839370864
126,claude-3-sonnet-20240229,self_consistency,rs_size_10,347,27.047811905668347,0.13981481563636453,0.06905128614914302
138,claude-3-sonnet-20240229,step_back_prompting,rs_size_10,231,27.06955901503944,0.8741658206360826,0.3133498856433955
94,claude-3-sonnet-20240229,emotion_prompt,rs_size_5,375,27.077581553589077,0.20443109481626884,0.16757626493668298
322,gpt-4o,self_consistency,rs_size_50,375,27.088118732034776,0.046898867649406914,0.008709043720553922
213,gpt-3.5-turbo-0125,emotion_prompt,rs_size_150,367,27.091659514610797,0.4208106009490632,0.3605326625958173
41,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_50,375,27.123748724550715,0.12618940804595916,0.0717632093495375
33,claude-3-5-sonnet-20240620,least_to_most,rs_size_25,375,27.23356781626359,0.06386765117070561,0.016664937161880777
689,phi3:medium-128k,skeleton_of_thought,rs_size_5,349,27.3821713793487,0.3700354865912954,0.24556767802781854
349,llama2:13b,generated_knowledge,rs_size_5,116,27.403901943749,0.44767978207334486,0.42503087573097686
202,gpt-3.5-turbo-0125,chain_of_verification,rs_size_25,123,27.43473578935819,0.08562787307393452,0.030162686406164596
323,gpt-4o,skeleton_of_thought,rs_size_10,349,27.45028480120385,0.2306620675633606,0.10673593240084545
