,model,prompt_method,n_samples,KL Divergence,Wasserstein,MMD
74,llama3:70b,directional_stimuli,1194,16.69740932435667,0.24853580671841277,0.12361398826667624
116,mixtral:8x22b,reverse_prompting,844,17.135000804668145,0.28982738342323594,0.15038673539896696
130,phi3:medium-128k,skeleton_of_thought,1356,17.167197618185078,0.17414663465364275,0.06905711372086443
127,phi3:medium-128k,rephrase_and_respond,1026,17.19376325548383,0.27883017609689903,0.14366885519359318
126,phi3:medium-128k,recursive_criticism_and_improvement,845,17.367625160618108,0.2929657896902172,0.1607378462042206
90,llama3:8b,recursive_criticism_and_improvement,267,17.490016359227734,0.2737750479409938,0.1304774098406074
89,llama3:8b,least_to_most,264,17.507582561951686,0.3391104260822506,0.14920393703821722
79,llama3:70b,rephrase_and_respond,2044,17.52022804405226,0.23283294384909498,0.12463560283007236
37,gpt-3.5-turbo-0125,chain_of_verification,1092,17.8410436691444,0.15910508436590304,0.08864613425725887
86,llama3:8b,directional_stimuli,1074,17.91803422526819,0.3914967685965279,0.2109595817966653
122,phi3:medium-128k,directional_stimuli,924,17.943554324663424,0.33014652182602194,0.15505717271776776
82,llama3:70b,skeleton_of_thought,687,18.057506608231296,0.19248753499742974,0.124438327371855
65,llama2:13b,least_to_most,370,18.09567877915641,0.2275120504553207,0.07550313281360532
6,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,2250,18.129128565968458,0.1345196138294464,0.0844361550066921
115,mixtral:8x22b,rephrase_and_respond,1947,18.334002356410767,0.1587401477432274,0.11112278954538923
103,mistral:7b,rephrase_and_respond,739,18.628250094880098,0.20574858605745283,0.10375252014478908
69,llama2:13b,self_consistency,243,18.750657358773655,0.23410803897776414,0.09359162534681054
91,llama3:8b,rephrase_and_respond,1757,19.0191251580601,0.40164588825752334,0.17193936342405303
92,llama3:8b,reverse_prompting,904,19.06207854987521,0.2485275676783014,0.10392510733909299
75,llama3:70b,emotion_prompt,2182,19.07184134392282,0.32261392425079105,0.17017522651163275
104,mistral:7b,reverse_prompting,249,19.182913853931193,0.25125771665040186,0.07468821962869021
125,phi3:medium-128k,least_to_most,870,19.386943335586103,0.19630745621053022,0.08566641020383114
131,phi3:medium-128k,step_back_prompting,878,19.396649854873715,0.2956113526395864,0.1277535281032698
112,mixtral:8x22b,generated_knowledge,1728,19.752731089565142,0.2382365908099185,0.20097824387475893
84,llama3:8b,chain_of_thought,1232,19.771350060005197,0.41539531135974933,0.1633388779096553
118,mixtral:8x22b,skeleton_of_thought,1419,19.931267274594152,0.22084884125038387,0.18950958852802757
19,claude-3-sonnet-20240229,rephrase_and_respond,2250,20.041941078430316,0.16927803586619974,0.13294445911871344
87,llama3:8b,emotion_prompt,1902,20.105067340800062,0.3943921431942093,0.1866186245352156
66,llama2:13b,recursive_criticism_and_improvement,305,20.185583724538663,0.28438803673401153,0.11193957364949769
107,mistral:7b,step_back_prompting,82,20.591446303777836,1.228162612225713,0.09207137991694658
23,claude-3-sonnet-20240229,step_back_prompting,1837,20.77408007369773,0.5779527918396822,0.2261445201549327
124,phi3:medium-128k,generated_knowledge,1032,20.7958501623626,0.2491806574445198,0.11100790581034392
123,phi3:medium-128k,emotion_prompt,1117,20.831865385699512,0.346680470480596,0.13717483477681292
120,phi3:medium-128k,chain_of_thought,464,20.91031810715267,0.22348735065631106,0.09198088409958305
16,claude-3-sonnet-20240229,generated_knowledge,2249,21.338081247611502,0.09555548418779612,0.022447689164244444
39,gpt-3.5-turbo-0125,emotion_prompt,2208,24.711164943809145,0.31210929766030054,0.2402707249605769
128,phi3:medium-128k,reverse_prompting,267,25.376765207073504,0.45729495602883663,0.2756083540705533
100,mistral:7b,generated_knowledge,260,25.822548810629975,0.48526636817995605,0.10350416224018089
9,claude-3-5-sonnet-20240620,self_consistency,2250,26.53713117294945,0.023894228832860374,0.0024058810710581024
4,claude-3-5-sonnet-20240620,generated_knowledge,2250,26.720222938552755,0.05561562933280292,0.015095129086344139
95,llama3:8b,step_back_prompting,117,28.317422564366325,0.46244361085058433,0.19809919120335528
102,mistral:7b,recursive_criticism_and_improvement,154,29.28549132481366,0.5838817226679794,0.27182990682802943
29,gemma:7b,least_to_most,60,29.949236857322006,0.3136775337650038,0.20314151213246423
109,mixtral:8x22b,chain_of_verification,1068,29.953873146415468,0.4394182291289879,0.2572425689070573
61,llama2:13b,chain_of_verification,263,30.29082256952808,0.2627466954204571,0.13014598544890754
71,llama2:13b,step_back_prompting,301,31.12399975373075,0.17566530536902691,0.07081333126760425
83,llama3:70b,step_back_prompting,459,31.2268009641494,0.15748048655319094,0.10318314976013254
98,mistral:7b,directional_stimuli,189,31.523980906186612,0.31397103457677467,0.11580537502282984
142,phi3:mini-128k,step_back_prompting,4,31.562881444196414,0.299337905925292,0.0953129864648512
34,gemma:7b,skeleton_of_thought,64,31.72166612123467,0.24192302043659514,0.25667892974302464
137,phi3:mini-128k,recursive_criticism_and_improvement,17,31.960141590986552,0.6592330539242315,0.20885913607656237
27,gemma:7b,emotion_prompt,69,32.84395717180434,0.5332564551701233,0.25350504381795413
33,gemma:7b,self_consistency,200,33.569016719402605,0.06678491332195965,0.004928032630248325
28,gemma:7b,generated_knowledge,178,33.86795008076549,0.16444958345810765,0.10806939791670378
25,gemma:7b,chain_of_verification,103,34.23006813210308,0.2983054048061389,0.06505213898713236
30,gemma:7b,recursive_criticism_and_improvement,61,34.36335610951799,0.4801921094852875,0.21888312773545748
68,llama2:13b,reverse_prompting,121,34.608132337235766,0.8249962763633718,0.09165467610261024
31,gemma:7b,rephrase_and_respond,69,34.61534355425515,0.3745972776134864,0.1973618630579166
26,gemma:7b,directional_stimuli,62,35.253583790348365,0.33827052048505174,0.23693843459209984
35,gemma:7b,step_back_prompting,75,36.92142215048238,0.26493125722373784,0.15821664331973095
14,claude-3-sonnet-20240229,directional_stimuli,2234,37.26456738527673,0.28881743322736775,0.3421990433419486
106,mistral:7b,skeleton_of_thought,208,37.78384876403767,0.17164908776778928,0.09980390081025292
97,mistral:7b,chain_of_verification,112,37.97651121817543,0.2775839916411479,0.10806490875803898
24,gemma:7b,chain_of_thought,48,38.28639427483795,0.32744136448136035,0.17149836432101062
132,phi3:mini-128k,chain_of_thought,8,39.52859078163259,0.08073166866672213,0.02716092837060935
138,phi3:mini-128k,rephrase_and_respond,9,39.56484045276737,0.09377630478028635,0.0655218297399689
135,phi3:mini-128k,emotion_prompt,5,39.99859440863608,0.6616646473291053,0.3423476124965381
133,phi3:mini-128k,chain_of_verification,4,40.22173796219253,0.0749280321178075,0.01666211667386963
136,phi3:mini-128k,least_to_most,3,40.50942003464431,0.2686333950595135,0.5774604472734125
139,phi3:mini-128k,reverse_prompting,3,40.50942003464431,0.5806722079987165,0.3822277060800705
134,phi3:mini-128k,directional_stimuli,4,40.5683115524638,1.158061929440562,0.29845086395920273
141,phi3:mini-128k,skeleton_of_thought,1,41.608032319295525,0.6530584444612477,1.8252077450158313
140,phi3:mini-128k,self_consistency,1,41.60803231929557,0.08304310278762651,0.026821033084012624
62,llama2:13b,directional_stimuli,1,41.608032319295575,0.14258600415238015,0.1117889458915986
